Date,Dividend,Ticker,Ticker_Yahoo
2009-11-23,0.009009, ALPA4,ALPA4.SA
2010-05-24,0.036195, ALPA4,ALPA4.SA
2010-11-22,0.025228, ALPA4,ALPA4.SA
2011-03-28,0.043706, ALPA4,ALPA4.SA
2011-05-23,0.361952, ALPA4,ALPA4.SA
2011-08-22,0.037281, ALPA4,ALPA4.SA
2011-11-21,0.03348, ALPA4,ALPA4.SA
2012-03-20,0.039091, ALPA4,ALPA4.SA
2012-05-14,0.039453, ALPA4,ALPA4.SA
2012-08-13,0.037281, ALPA4,ALPA4.SA
2012-11-19,0.038005, ALPA4,ALPA4.SA
2013-03-25,0.085239, ALPA4,ALPA4.SA
2013-05-20,0.036014, ALPA4,ALPA4.SA
2013-08-19,0.039091, ALPA4,ALPA4.SA
2013-11-18,0.039452, ALPA4,ALPA4.SA
2014-03-24,0.041443, ALPA4,ALPA4.SA
2014-05-19,0.04253, ALPA4,ALPA4.SA
2014-08-18,0.043579, ALPA4,ALPA4.SA
2014-11-17,0.025323, ALPA4,ALPA4.SA
2015-03-16,0.316994, ALPA4,ALPA4.SA
2015-05-18,0.0501, ALPA4,ALPA4.SA
2015-09-08,0.055553, ALPA4,ALPA4.SA
2015-10-01,0.136606, ALPA4,ALPA4.SA
2015-11-23,0.054643, ALPA4,ALPA4.SA
2015-12-08,0.165749, ALPA4,ALPA4.SA
2016-03-14,0.038602, ALPA4,ALPA4.SA
2016-05-16,0.031896, ALPA4,ALPA4.SA
2016-08-15,0.057812, ALPA4,ALPA4.SA
2016-11-14,0.112, ALPA4,ALPA4.SA
2017-03-20,0.06923, ALPA4,ALPA4.SA
2017-05-15,0.065967, ALPA4,ALPA4.SA
2017-08-14,0.067961, ALPA4,ALPA4.SA
2017-11-21,0.06923, ALPA4,ALPA4.SA
2018-02-22,0.176588, ALPA4,ALPA4.SA
2018-03-05,0.068323, ALPA4,ALPA4.SA
2018-05-21,0.063974, ALPA4,ALPA4.SA
2018-08-20,0.068142, ALPA4,ALPA4.SA
2020-02-17,0.055166, ALPA4,ALPA4.SA
2021-11-04,0.271712, ALPA4,ALPA4.SA
2022-01-03,0.163028, ALPA4,ALPA4.SA
2025-02-28,0.106407, ALPA4,ALPA4.SA
2014-04-17,1.292639, ALUP11,ALUP11.SA
2014-10-03,0.369325, ALUP11,ALUP11.SA
2015-04-16,0.923313, ALUP11,ALUP11.SA
2016-04-22,0.646319, ALUP11,ALUP11.SA
2017-04-26,0.455597, ALUP11,ALUP11.SA
2018-02-02,0.186689, ALUP11,ALUP11.SA
2018-04-27,0.293369, ALUP11,ALUP11.SA
2018-12-07,0.160019, ALUP11,ALUP11.SA
2019-04-30,0.400048, ALUP11,ALUP11.SA
2020-04-28,0.613407, ALUP11,ALUP11.SA
2021-04-28,0.746757, ALUP11,ALUP11.SA
2022-04-12,1.093466, ALUP11,ALUP11.SA
2023-04-18,1.331361, ALUP11,ALUP11.SA
2023-05-16,0.110947, ALUP11,ALUP11.SA
2023-08-17,0.110947, ALUP11,ALUP11.SA
2023-11-17,0.110947, ALUP11,ALUP11.SA
2024-04-22,0.75, ALUP11,ALUP11.SA
2024-05-17,0.201923, ALUP11,ALUP11.SA
2024-08-19,0.173077, ALUP11,ALUP11.SA
2024-11-18,0.230769, ALUP11,ALUP11.SA
2025-04-17,0.24, ALUP11,ALUP11.SA
2025-05-16,0.21, ALUP11,ALUP11.SA
2025-08-15,0.21, ALUP11,ALUP11.SA
2017-04-26,0.151865, ALUP4,ALUP4.SA
2018-02-02,0.06223, ALUP4,ALUP4.SA
2018-04-27,0.09779, ALUP4,ALUP4.SA
2018-12-07,0.05334, ALUP4,ALUP4.SA
2019-04-30,0.133349, ALUP4,ALUP4.SA
2020-04-28,0.204469, ALUP4,ALUP4.SA
2021-04-28,0.248919, ALUP4,ALUP4.SA
2022-04-12,0.364489, ALUP4,ALUP4.SA
2023-04-18,0.443787, ALUP4,ALUP4.SA
2023-05-16,0.036982, ALUP4,ALUP4.SA
2023-08-17,0.036982, ALUP4,ALUP4.SA
2023-11-17,0.036982, ALUP4,ALUP4.SA
2024-04-22,0.25, ALUP4,ALUP4.SA
2024-05-17,0.067308, ALUP4,ALUP4.SA
2024-08-19,0.057692, ALUP4,ALUP4.SA
2024-11-18,0.076923, ALUP4,ALUP4.SA
2025-04-17,0.08, ALUP4,ALUP4.SA
2025-05-16,0.07, ALUP4,ALUP4.SA
2025-08-15,0.07, ALUP4,ALUP4.SA
2014-12-08,0.132981, AZEV4,AZEV4.SA
2015-05-04,0.04772, AZEV4,AZEV4.SA
2015-12-14,0.197218, AZEV4,AZEV4.SA
2011-05-02,0.124, BALM4,BALM4.SA
2012-05-02,0.092, BALM4,BALM4.SA
2013-04-29,0.135, BALM4,BALM4.SA
2013-05-02,0.023, BALM4,BALM4.SA
2014-05-02,0.0381, BALM4,BALM4.SA
2015-05-04,0.0875, BALM4,BALM4.SA
2016-01-04,0.12, BALM4,BALM4.SA
2016-05-02,0.27, BALM4,BALM4.SA
2017-05-02,0.15, BALM4,BALM4.SA
2018-05-02,0.12, BALM4,BALM4.SA
2019-05-02,0.14, BALM4,BALM4.SA
2020-08-06,0.26, BALM4,BALM4.SA
2021-05-03,0.41, BALM4,BALM4.SA
2022-05-02,0.251416, BALM4,BALM4.SA
2023-01-05,0.105882, BALM4,BALM4.SA
2023-05-02,0.11, BALM4,BALM4.SA
2023-12-06,0.776471, BALM4,BALM4.SA
2024-12-20,0.717647, BALM4,BALM4.SA
2025-05-07,0.64, BALM4,BALM4.SA
2025-10-03,0.929412, BALM4,BALM4.SA
2008-01-03,0.004691, BBDC4,BBDC4.SA
2008-02-06,0.004691, BBDC4,BBDC4.SA
2008-03-04,0.004691, BBDC4,BBDC4.SA
2008-04-02,0.004691, BBDC4,BBDC4.SA
2008-05-05,0.004691, BBDC4,BBDC4.SA
2008-06-03,0.004691, BBDC4,BBDC4.SA
2008-07-02,0.004691, BBDC4,BBDC4.SA
2008-08-04,0.004691, BBDC4,BBDC4.SA
2008-09-02,0.004691, BBDC4,BBDC4.SA
2008-10-02,0.004691, BBDC4,BBDC4.SA
2008-11-04,0.004691, BBDC4,BBDC4.SA
2008-12-02,0.004691, BBDC4,BBDC4.SA
2008-12-08,0.189631, BBDC4,BBDC4.SA
2009-01-05,0.004691, BBDC4,BBDC4.SA
2009-02-03,0.00516, BBDC4,BBDC4.SA
2009-03-03,0.00516, BBDC4,BBDC4.SA
2009-04-02,0.00516, BBDC4,BBDC4.SA
2009-05-05,0.00516, BBDC4,BBDC4.SA
2009-06-02,0.00516, BBDC4,BBDC4.SA
2009-07-02,0.00516, BBDC4,BBDC4.SA
2009-07-06,0.060712, BBDC4,BBDC4.SA
2009-08-04,0.00516, BBDC4,BBDC4.SA
2009-09-02,0.00516, BBDC4,BBDC4.SA
2009-10-02,0.00516, BBDC4,BBDC4.SA
2009-11-04,0.00516, BBDC4,BBDC4.SA
2009-12-02,0.00516, BBDC4,BBDC4.SA
2010-01-05,0.00516, BBDC4,BBDC4.SA
2010-02-02,0.00516, BBDC4,BBDC4.SA
2010-02-11,0.008369, BBDC4,BBDC4.SA
2010-03-02,0.00516, BBDC4,BBDC4.SA
2010-04-05,0.00516, BBDC4,BBDC4.SA
2010-05-04,0.00516, BBDC4,BBDC4.SA
2010-06-02,0.00516, BBDC4,BBDC4.SA
2010-06-29,0.060712, BBDC4,BBDC4.SA
2010-07-02,0.00516, BBDC4,BBDC4.SA
2010-08-03,0.00516, BBDC4,BBDC4.SA
2010-09-02,0.00516, BBDC4,BBDC4.SA
2010-10-04,0.00516, BBDC4,BBDC4.SA
2010-11-03,0.00516, BBDC4,BBDC4.SA
2010-12-02,0.00516, BBDC4,BBDC4.SA
2011-01-04,0.005182, BBDC4,BBDC4.SA
2011-02-02,0.005182, BBDC4,BBDC4.SA
2011-02-14,0.03127, BBDC4,BBDC4.SA
2011-03-02,0.005182, BBDC4,BBDC4.SA
2011-04-04,0.005182, BBDC4,BBDC4.SA
2011-05-03,0.005182, BBDC4,BBDC4.SA
2011-06-02,0.005182, BBDC4,BBDC4.SA
2011-06-28,0.060964, BBDC4,BBDC4.SA
2011-07-04,0.005182, BBDC4,BBDC4.SA
2011-08-02,0.005182, BBDC4,BBDC4.SA
